subject_heading,book_entry
PHARMACOLOGY & THERAPEUTICS,"4. Harvey RA, Champe PC. Lippincott's Illustrated Reviews: Pharmacology. 4th Ed. Lippincott"
PHARMACOLOGY & THERAPEUTICS,5. Humphrey P. Rang & Dale's Pharmacology. 6th Ed. Churchil Livingstone; 2007.
PHARMACOLOGY & THERAPEUTICS,"6. Katzung BG, Masters SB, Trevor AJ. Basic & Clinical Pharmacology. 11th Ed. McGraw Hill;"
PHARMACOLOGY & THERAPEUTICS,"7. Koda KMA, Young LY, Kradjan WA, Guglielmo BJ, Alldredge BK, Corelli RL. Applied"
PHARMACOLOGY & THERAPEUTICS,8. Laurence DR. Clinical Pharmacology. 8th Ed. ELBS Publishers; 1998.
PHARMACOLOGY & THERAPEUTICS,"9. Ritter JM, Levis LD. A Text Book of Clinical Pharmacology. 5th Ed. Oxford University"
PHARMACOLOGY & THERAPEUTICS,"10. Satorkar RS, Bhandarkar SD. Pharmacology and Pharmacotherapeutics. 19th Ed. Bomby:"
PHARMACOLOGY & THERAPEUTICS,11. Tripathi JD. Essentials of Medical Pharmacology. 6th Ed. Jaypee Brothers; 2008.
PHARMACOLOGY & THERAPEUTICS,"12. Wecker L, Crespo L, Dunaway G, Faingold C, Watts S. Brody's Human Pharmacology. 5th"
PHARMACOGNOSY,1. Anonymous. Monographs of Unani Medicine. Hamdard Foundation Pakistan; 2003.
PHARMACOGNOSY,"2. Baker BM, Bender DA. Vitamins in Medicine. 12th Ed. Academic Press; 1982."
PHARMACOGNOSY,"3. Brain KR, Turner TD. The Practical Evaluation of Phytopharmaceuticals. 1st Ed."
PHARMACOGNOSY,"4. Braun L, Cohen M. Herbs and Natural Supplements: An Evidence Based Guide. 3rd Ed."
PHARMACOGNOSY,5. Chauhan P. Ayurvedic Pharmacognosy. 1st Ed. Sonali Publications; 2007.
PHARMACOGNOSY,"6. Cutler SJ, Cutler HG. Biologically Active Natural Products: Pharmaceuticals. 1st Ed. CRC"
PHARMACOGNOSY,7. Dewick PM. Medicinal Natural Products: A Biosynthetic Approach. 1st Ed. John Wiley &
PHARMACOGNOSY,"8. Evans WC, Trease GE, Evans D. Trease and Evan’s Pharmacognosy. 16th Ed. Elsevier Health"
PHARMACOGNOSY,"9. Forhne D, Pfander HJ. Poisonous Plants: A Hand Book for Doctors, Pharmacists, Toxicologists,"
PHARMACOGNOSY,"10. Harborne JB, Baxter H. The Hand Book of Natural Flavonoids. 2nd Ed. John Willey & Son;"
PHARMACOGNOSY,"11. Jackson BP. Atlas of Microscopy of Medicinal Plants, Culinary Herbs and Spices. 2nd Ed."
PHARMACOGNOSY,12. Khandelwal K. Practical Pharmacognosy. 8th Ed. Nirali Prakashan Publishers; 2008.
PHARMACOGNOSY,13. Lesley Braun and Marc Cohen. Herbs and Natural Supplements: An evidence Based guide. 3rd
PHARMACOGNOSY,14. Lockwood B. Nutraceuticals: A Guide for Healthcare Professionals. 2nd Ed. Pharmaceutical
PHARMACOGNOSY,15. Mannito P. Biosynthesis of Natural Products. John Wiley & Sons; 1981.
PHARMACOGNOSY,16. Manske RHF. Alkaloids: Chemistry and Physiology. Academic Press; 1970.
PHARMACOGNOSY,17. Partab Chauhan. Ayurvedic Pharmacognosy. 1st Ed. Sonali Publications; 2007.
PHARMACOGNOSY,18. Ross IA. Medicinal Plants of the World. 2nd Ed. Humana Press; 2003.
PHARMACOGNOSY,19. Smith AB. Poisonous Plants of All Countries. 2nd Ed. Periodical Expert Book; 1988.
PHARMACOGNOSY,"20. Smith AB. Poisonous Plants of all Countries: With the Active, Chemical Principles Which"
PHARMACOGNOSY,"21. Tyler VE, Brady LR, Robbers JE. Pharmacognosy. 10th Ed. Lea and Febiger; 2001."
PHARMACOGNOSY,22. Wichtl M. Herbal Drugs and Phytopharmaceuticals. 3rd Ed. Medpharm Publishers; 2004.
PHARMACY PRACTICE (PHARMACEUTICAL MATHEMATICS),"1. Bali N, Gupta P, Gandhi C. A Textbook of Pharmaceutical Mathematics. 2nd Ed. Laxmi"
PHARMACY PRACTICE (PHARMACEUTICAL MATHEMATICS),"2. Edvards CH, Penney DE. Calculus and Analytic Geometry. 5th Ed. Prentice Hall Inc; 1999."
PHARMACY PRACTICE (PHARMACEUTICAL MATHEMATICS),"3. Hoel PG, Port SC, Stone CJ. Introduction to Statistical Theory. 1st Ed. Brooks Cole; 1972."
PAKISTAN STUDIES,1. Ansar Z. History & Culture of Sindh. Royal Book Company; 1980.
PAKISTAN STUDIES,2. Aziz KK. Party Politics in Pakistan. Sang-e-Meel Publications; 2007.
